Question.1,Question.2,Question.3,Anchor,Question.4,Question.5,Wording,Question.6,Question.7,Question.8,Question.9,Question.10,Question.11,Question.12,Question.13,Question.14,Question.15,Question.16,Question.17,Question.18
Nobel Prize,dog person,higher,10Percent,Better than average,no,Unbiased,80,5,religious and actively practicing my religion,almost always comfortable,13,3,500,7,15,3.45,non-science,no,male
Nobel Prize,dog person,higher,10Percent,Worse than average,no,Unbiased,14,35,not religious,sometimes comfortable,11,1,558,14,3,3.325,science,no,female
Nobel Prize,dog person,higher,10Percent,Worse than average,no,Unbiased,30,25,religious and actively practicing my religion,almost always comfortable,0,2,1500,10,4,3.2,non-science,yes,female
Nobel Prize,dog person,higher,10Percent,Worse than average,no,Unbiased,35,50,not religious,sometimes comfortable,3,1,450,3,0,3.75,science,no,male
Nobel Prize,dog person,higher,10Percent,Worse than average,yes,Unbiased,20,40,religious but not actively practicing,sometimes comfortable,9,2,385,3,1,3.1,science,yes,female
Nobel Prize,dog person,higher,40Percent,Average,no,Biased,42,37,religious and actively practicing my religion,"rarely, if ever, comfortable",10,6,500,9,1,3.3,science,yes,female
Nobel Prize,dog person,higher,40Percent,Average,no,Biased,55,30,religious but not actively practicing,sometimes comfortable,5,2,887,7,12,3.6,non-science,no,male
Nobel Prize,dog person,higher,40Percent,Better than average,no,Biased,45,55,not religious,sometimes comfortable,15,1,860,10,1,3.5,science,no,female
Nobel Prize,dog person,higher,40Percent,Better than average,no,Biased,45,70,religious but not actively practicing,almost always comfortable,20,2,550,7,6,3.806,non-science,no,female
Nobel Prize,dog person,higher,40Percent,Worse than average,no,Biased,45,30,not religious,almost always comfortable,10,1,1044,8,3,3.409,non-science,no,female
Nobel Prize,dog person,lower,10Percent,Average,no,Unbiased,6,20,not religious,almost always comfortable,7,1,700,6,4,3.3,non-science,no,female
Nobel Prize,dog person,lower,10Percent,Average,yes,Unbiased,7,50,not religious,almost always comfortable,10,2,350,1,5,3.8,science,no,female
Nobel Prize,dog person,lower,10Percent,Better than average,no,Unbiased,7,35,not religious,almost always comfortable,17,2,1050,12,2,3.72,non-science,yes,male
Nobel Prize,dog person,lower,10Percent,Worse than average,no,Unbiased,8,23,not religious,sometimes comfortable,40,0,828,12,4,3.2,non-science,yes,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,15,15,not religious,almost always comfortable,9,2,400,10,3,3.5,non-science,yes,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,18,50,not religious,sometimes comfortable,9,0,300,0.5,1,3.22,science,no,male
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,20,40,not religious,sometimes comfortable,20,1,400,10,2,3,science,yes,male
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,20,60,religious and actively practicing my religion,sometimes comfortable,30,1,824,5,7,3.6,science,yes,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,30,40,not religious,almost always comfortable,6,1,1e3,10,5,3.45,non-science,no,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,30,40,not religious,sometimes comfortable,8,1,485,1,2,3.64,science,no,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,35,25,religious but not actively practicing,almost always comfortable,4,1,400,6,3,3.11,non-science,no,male
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,38,20,religious but not actively practicing,"rarely, if ever, comfortable",17,2,118,4,6,3.3,science,no,female
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,8,5,not religious,almost always comfortable,7,3,800,3,0,3.45,non-science,no,male
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,10,30,not religious,almost always comfortable,3,0,40,0,0,3.83,non-science,no,male
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,10,30,religious and actively practicing my religion,"rarely, if ever, comfortable",9,2,1e3,18,2,3.4,non-science,yes,female
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,25,40,religious and actively practicing my religion,sometimes comfortable,9,1,440,3,1.5,3.04,science,no,female
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,25,70,not religious,sometimes comfortable,5,0,190,6,8,2.66,science,no,male
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,30,20,not religious,almost always comfortable,9,1,1500,5,1,3.8,science,yes,female
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,30,40,religious and actively practicing my religion,sometimes comfortable,14,3,1400,8,4,3.7,science,no,female
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,30,65,religious and actively practicing my religion,"rarely, if ever, comfortable",15,3,871,20,0,3.4,science,yes,female
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,35,25,not religious,almost always comfortable,16,2,852,15,7,3.52,science,yes,female
Nobel Prize,dog person,lower,40Percent,Better than average,yes,Biased,21,31,religious and actively practicing my religion,"rarely, if ever, comfortable",8,2,1200,15,1,3.1,non-science,yes,male
Nobel Prize,dog person,lower,40Percent,Worse than average,no,Biased,30,40,not religious,sometimes comfortable,7,2,400,3,0,3.68,non-science,no,female
Nobel Prize,dog person,lower,40Percent,NA,no,Biased,20,30,not religious,almost always comfortable,10,2,324,21,0,3.557,non-science,yes,female
Nobel Prize,neither,higher,10Percent,Average,no,Unbiased,14,30,religious and actively practicing my religion,almost always comfortable,8,2,1100,13,5,3.499,non-science,no,male
Nobel Prize,neither,higher,10Percent,Average,no,Unbiased,17,27,not religious,sometimes comfortable,12,1,82,4,4,3.851,science,no,female
Nobel Prize,neither,higher,10Percent,Better than average,no,Unbiased,15,65,religious and actively practicing my religion,sometimes comfortable,10,3,500,4,6,3.45,science,no,male
Nobel Prize,neither,higher,10Percent,Better than average,no,Unbiased,17,45,not religious,almost always comfortable,5,1,700,12,4,3.3,science,no,male
Nobel Prize,neither,lower,10Percent,Average,no,Unbiased,6,70,religious and actively practicing my religion,almost always comfortable,8,3,1645,10,3,3.58,non-science,yes,male
Nobel Prize,neither,lower,10Percent,Worse than average,no,Unbiased,7,40,religious but not actively practicing,sometimes comfortable,4,1,600,12,3,3.8,non-science,no,male
Nobel Prize,neither,lower,10Percent,Worse than average,no,Unbiased,8,30,religious and actively practicing my religion,sometimes comfortable,NA,1,382,5,0,3,non-science,no,male
Nobel Prize,neither,lower,40Percent,Average,no,Biased,21,35,not religious,almost always comfortable,5,3,644,4,1,3.73,non-science,no,male
Nobel Prize,neither,lower,40Percent,Better than average,no,Biased,30,50,not religious,almost always comfortable,5,1,728,3,0,3.37,non-science,no,male
Olympic Gold,cat person,lower,10Percent,Average,no,Unbiased,7,25,religious but not actively practicing,sometimes comfortable,4,2,495,4,0,3.5,science,no,male
Olympic Gold,cat person,lower,10Percent,Better than average,no,Unbiased,5,15,not religious,sometimes comfortable,7,2,200,10,10,3.78,non-science,yes,male
Olympic Gold,cat person,lower,40Percent,Average,no,Biased,25,40,religious and actively practicing my religion,"rarely, if ever, comfortable",12,1,200,6,2,3.4,non-science,no,female
Olympic Gold,dog person,higher,10Percent,Average,no,Unbiased,15,40,religious but not actively practicing,"rarely, if ever, comfortable",10,0,1200,10,3,3.4,science,yes,female
Olympic Gold,dog person,higher,10Percent,Average,yes,Unbiased,10,26,not religious,almost always comfortable,13,2,1200,9,1,3.8,non-science,no,male
Olympic Gold,dog person,higher,10Percent,Better than average,no,Unbiased,15,20,not religious,"rarely, if ever, comfortable",20,1,669,8,10,3.4,non-science,no,male
Olympic Gold,dog person,higher,10Percent,Better than average,no,Unbiased,15,40,not religious,almost always comfortable,8,1,275,12,0,3.92,science,yes,male
Olympic Gold,dog person,higher,10Percent,Better than average,no,Unbiased,23,65,not religious,sometimes comfortable,11,2,200,7,3,3.45,non-science,no,female
Olympic Gold,dog person,higher,10Percent,Better than average,yes,Unbiased,30,48,not religious,sometimes comfortable,10,2,243,8,0,2.8,non-science,yes,male
Olympic Gold,dog person,higher,40Percent,Better than average,no,Biased,42,20,not religious,almost always comfortable,12,1,400,15,5,3,science,yes,female
Olympic Gold,dog person,lower,10Percent,Average,yes,Unbiased,9,15,not religious,sometimes comfortable,9,3,1500,9,0,3.57,science,no,female
Olympic Gold,dog person,lower,10Percent,Better than average,no,Unbiased,5,40,religious but not actively practicing,"rarely, if ever, comfortable",9,1,400,12,4,3.4,science,no,female
Olympic Gold,dog person,lower,10Percent,Worse than average,yes,Unbiased,5,20,not religious,sometimes comfortable,5,1,250,7,10,2.9,non-science,no,male
Olympic Gold,dog person,lower,40Percent,Average,no,Biased,20,60,religious but not actively practicing,sometimes comfortable,20,2,114,5,1,3.4,non-science,yes,female
Olympic Gold,dog person,lower,40Percent,Average,no,Biased,25,20,not religious,almost always comfortable,8,1,500,1,0,3.8,science,no,female
Olympic Gold,dog person,lower,40Percent,Average,no,Biased,30,50,not religious,almost always comfortable,10,2,657,10,1,3.53,non-science,no,female
Olympic Gold,dog person,lower,40Percent,Average,yes,Biased,25,60,religious but not actively practicing,"rarely, if ever, comfortable",12,1,600,12,1,3.81,science,yes,female
Olympic Gold,dog person,lower,40Percent,Better than average,no,Biased,20,30,not religious,sometimes comfortable,10,2,20,4,0,NA,science,no,female
Olympic Gold,dog person,lower,40Percent,Better than average,no,Biased,30,35,religious but not actively practicing,"rarely, if ever, comfortable",8,2,1430,10,2,3.5,non-science,yes,male
Olympic Gold,neither,higher,10Percent,Average,no,Unbiased,14,10,not religious,sometimes comfortable,5,0,737,8,0,3.941,non-science,yes,male
Olympic Gold,neither,lower,10Percent,Better than average,no,Unbiased,8,71,religious and actively practicing my religion,"rarely, if ever, comfortable",4,1,312,20,1,3.09,science,yes,male
Olympic Gold,neither,lower,40Percent,Better than average,no,Biased,20,5,not religious,sometimes comfortable,10,0,200,12,0,3.7,non-science,yes,female
